Cyclist,1,72,59,54,FRAME00000.jpg,128,128
Cyclist,3,72,78,54,FRAME00001.jpg,128,128
Cyclist,19,69,83,56,FRAME00002.jpg,128,128
Cyclist,43,67,78,58,FRAME00003.jpg,128,128
Cyclist,62,64,66,61,FRAME00004.jpg,128,128
Cyclist,0,62,57,60,FRAME00005.jpg,128,128
Helmet,0,61,10,11,FRAME00005.jpg,128,128
Cyclist,1,62,71,64,FRAME00006.jpg,128,128
Helmet,11,62,17,12,FRAME00006.jpg,128,128
Cyclist,5,62,82,60,FRAME00007.jpg,128,128
Helmet,28,62,18,11,FRAME00007.jpg,128,128
Helmet,48,63,18,12,FRAME00008.jpg,128,128
Cyclist,17,62,84,58,FRAME00008.jpg,128,128
Cyclist,31,62,82,60,FRAME00009.jpg,128,128
Helmet,67,62,19,10,FRAME00009.jpg,128,128
Helmet,89,62,16,12,FRAME00010.jpg,128,128
Cyclist,48,62,79,58,FRAME00010.jpg,128,128
Cyclist,61,61,67,60,FRAME00011.jpg,128,128
Helmet,107,61,16,13,FRAME00011.jpg,128,128
Cyclist,78,62,50,59,FRAME00012.jpg,128,128
Cyclist,26,60,73,61,FRAME00014.jpg,128,128
Cyclist,52,57,68,63,FRAME00015.jpg,128,128
Cyclist,79,55,49,61,FRAME00016.jpg,128,128
Cyclist,0,71,47,50,FRAME00017.jpg,128,128
Cyclist,1,58,60,64,FRAME00018.jpg,128,128
Cyclist,1,59,75,66,FRAME00019.jpg,128,128
Cyclist,4,59,86,65,FRAME00020.jpg,128,128
Cyclist,19,59,85,63,FRAME00021.jpg,128,128
Cyclist,33,58,83,65,FRAME00022.jpg,128,128
Cyclist,48,57,78,65,FRAME00023.jpg,128,128
Cyclist,64,57,64,65,FRAME00024.jpg,128,128
Cyclist,77,55,51,66,FRAME00025.jpg,128,128
Cyclist,0,67,71,59,FRAME00027.jpg,128,128
Cyclist,24,67,84,61,FRAME00028.jpg,128,128
Cyclist,42,68,83,60,FRAME00029.jpg,128,128
Cyclist,61,68,67,60,FRAME00030.jpg,128,128
Cyclist,1,60,53,59,FRAME00031.jpg,128,128
Cyclist,0,60,71,60,FRAME00032.jpg,128,128
Cyclist,7,58,82,60,FRAME00033.jpg,128,128
Cyclist,25,56,81,61,FRAME00034.jpg,128,128
Cyclist,43,56,78,61,FRAME00035.jpg,128,128
Cyclist,65,55,63,59,FRAME00036.jpg,128,128
Cyclist,83,55,45,59,FRAME00037.jpg,128,128
Cyclist,0,54,71,63,FRAME00038.jpg,128,128
Cyclist,4,56,86,64,FRAME00039.jpg,128,128
Cyclist,13,56,87,64,FRAME00040.jpg,128,128
Cyclist,22,57,88,65,FRAME00041.jpg,128,128
Cyclist,33,57,86,66,FRAME00042.jpg,128,128
Cyclist,44,57,83,66,FRAME00043.jpg,128,128
Cyclist,54,58,74,65,FRAME00044.jpg,128,128
Cyclist,66,59,62,63,FRAME00045.jpg,128,128
Cyclist,75,59,53,64,FRAME00046.jpg,128,128
Cyclist,86,58,42,62,FRAME00047.jpg,128,128
Cyclist,0,56,72,55,FRAME00049.jpg,128,128
Helmet,0,70,5,10,FRAME00049.jpg,128,128
Cyclist,8,56,80,55,FRAME00050.jpg,128,128
